order_year,order_month,product_category_name_english,payment_type_mode,orders,items,revenue,avg_ticket,delayed_rate,avg_review_score,avg_freight_to_price_ratio
2017,1,fashion_male_clothing,credit_card,1,1,159.11,159.11,0.0,5.0,0.25382190701339635
2017,1,fashion_shoes,credit_card,1,1,49.01,49.01,0.0,5.0,0.404297994269341
2017,1,fashion_underwear_beach,boleto,1,1,69.0,69.0,0.0,5.0,0.35294117647058826
2017,1,fashion_underwear_beach,credit_card,1,1,102.15,102.15,0.0,1.0,0.18434782608695652
2017,1,fixed_telephony,boleto,6,8,259.91,32.48875,0.0,4.0,0.8447143864524412
2017,1,fixed_telephony,credit_card,13,14,709.6500000000001,50.689285714285724,0.0,4.5,0.8553544183362619
2017,1,food,credit_card,2,2,78.82,39.41,0.0,5.0,0.9147400901970092
2017,1,furniture_bedroom,boleto,7,7,124.34,17.762857142857143,0.0,5.0,0.9902252337034946
2017,1,furniture_bedroom,credit_card,1,1,24.42,24.42,0.0,5.0,1.4666666666666666
2017,1,furniture_decor,boleto,22,28,2089.03,74.6082142857143,0.07142857142857142,3.4285714285714284,0.3581837702968476
2017,1,furniture_decor,credit_card,104,140,13425.52,95.89657142857143,0.05714285714285714,3.7785714285714285,0.319858507746544
2017,1,furniture_decor,debit_card,3,4,248.20000000000002,62.050000000000004,0.0,4.5,0.4801565363098859
2017,1,furniture_decor,voucher,8,10,699.0,69.9,0.0,4.55,0.36425236536160643
2017,1,furniture_living_room,boleto,2,2,381.98,190.99,0.0,5.0,0.2056000715963739
2017,1,furniture_living_room,credit_card,6,8,1137.24,142.155,0.0,4.75,0.23164627555351228
2017,1,garden_tools,boleto,9,10,1806.1499999999999,180.61499999999998,0.0,3.9,0.30999900965343263
2017,1,garden_tools,credit_card,31,48,7419.02,154.56291666666667,0.0,3.8333333333333335,0.15530995850275284
2017,1,health_beauty,boleto,20,22,3175.22,144.3281818181818,0.0,4.090909090909091,0.2673897724398647
2017,1,health_beauty,credit_card,59,60,9963.4,166.05666666666667,0.016666666666666666,3.9827586206896552,0.27568517931217673
2017,1,health_beauty,debit_card,1,1,54.510000000000005,54.510000000000005,0.0,5.0,0.36309077269317325
2017,1,health_beauty,voucher,2,2,846.61,423.305,0.0,5.0,0.21659881694191468
2017,1,home_appliances_2,boleto,4,5,1340.26,268.052,0.0,4.75,0.2566033291418385
2017,1,home_appliances_2,credit_card,2,2,700.44,350.22,0.0,4.5,0.09226622721960018
2017,1,home_appliances_2,voucher,1,1,227.9,227.9,0.0,5.0,0.0857551214864221
2017,1,home_comfort_2,credit_card,2,2,95.57,47.785,0.0,4.5,0.5233871698308551
2017,1,housewares,boleto,4,4,423.8,105.95,0.0,5.0,0.22883676466910177
2017,1,housewares,credit_card,17,24,2845.96,118.58166666666666,0.041666666666666664,3.9166666666666665,0.2691624921915292
2017,1,kitchen_dining_laundry_garden_furniture,credit_card,1,1,128.2,128.2,0.0,5.0,0.16545454545454544
2017,1,luggage_accessories,boleto,1,2,138.9,69.45,0.0,5.0,0.2650273224043716
2017,1,luggage_accessories,credit_card,3,3,426.47999999999996,142.16,0.3333333333333333,4.666666666666667,0.14782426601808904
2017,1,market_place,boleto,1,1,43.0,43.0,0.0,5.0,0.72
2017,1,market_place,credit_card,5,5,505.22,101.04400000000001,0.0,3.4,0.3520693413902868
2017,1,music,boleto,2,2,37.24,18.62,0.0,5.0,0.8808080808080808
2017,1,musical_instruments,credit_card,1,1,357.74,357.74,0.0,4.0,0.052981691882027435
2017,1,office_furniture,boleto,3,6,1007.1,167.85,0.0,3.0,0.29426857788214894
2017,1,office_furniture,credit_card,4,4,810.64,202.66,0.0,2.5,0.21272221083170711
2017,1,perfumery,boleto,7,11,1069.83,97.25727272727272,0.0,4.545454545454546,0.22963175065456468
2017,1,perfumery,credit_card,22,23,4584.18,199.3121739130435,0.0,4.954545454545454,0.19279294405473132
2017,1,pet_shop,boleto,6,6,102.72,17.12,0.0,5.0,1.284813459882143
2017,1,pet_shop,credit_card,6,7,882.1800000000001,126.0257142857143,0.0,4.428571428571429,0.23192942136049202
2017,1,pet_shop,voucher,1,2,197.49,98.745,0.0,1.0,0.08656621497964825
2017,1,security_and_services,credit_card,1,1,209.06,209.06,0.0,4.0,0.14059686835070107
2017,1,small_appliances,boleto,1,1,217.0,217.0,0.0,5.0,0.09045226130653267
2017,1,small_appliances,credit_card,5,5,1571.25,314.25,0.2,4.6,0.16951366424405043
2017,1,sports_leisure,boleto,19,25,4232.110000000001,169.28440000000003,0.0,4.52,0.2922507272256462
2017,1,sports_leisure,credit_card,42,50,6992.61,139.85219999999998,0.06,3.673469387755102,0.32251314455170693
2017,1,sports_leisure,voucher,1,5,222.54999999999998,44.51,0.0,4.0,0.48416138712904305
2017,1,stationery,boleto,2,5,407.26,81.452,0.0,5.0,0.3338475065946489
2017,1,stationery,credit_card,5,9,1347.35,149.70555555555555,0.0,4.666666666666667,0.10967142935343016
2017,1,telephony,boleto,6,6,334.3,55.71666666666667,0.0,3.8333333333333335,0.7672522431963614
2017,1,telephony,credit_card,14,19,3055.76,160.82947368421054,0.0,4.0,0.9353973183086469
