date_key,order_date,year,quarter,month,month_name,year_month,week_of_year,day,weekday_name
20170516,2017-05-16,2017,Q2,5,May,2017-05,20,16,Tuesday
20170517,2017-05-17,2017,Q2,5,May,2017-05,20,17,Wednesday
20170518,2017-05-18,2017,Q2,5,May,2017-05,20,18,Thursday
20170519,2017-05-19,2017,Q2,5,May,2017-05,20,19,Friday
20170520,2017-05-20,2017,Q2,5,May,2017-05,20,20,Saturday
20170521,2017-05-21,2017,Q2,5,May,2017-05,20,21,Sunday
20170522,2017-05-22,2017,Q2,5,May,2017-05,21,22,Monday
20170523,2017-05-23,2017,Q2,5,May,2017-05,21,23,Tuesday
20170524,2017-05-24,2017,Q2,5,May,2017-05,21,24,Wednesday
20170525,2017-05-25,2017,Q2,5,May,2017-05,21,25,Thursday
20170526,2017-05-26,2017,Q2,5,May,2017-05,21,26,Friday
20170527,2017-05-27,2017,Q2,5,May,2017-05,21,27,Saturday
20170528,2017-05-28,2017,Q2,5,May,2017-05,21,28,Sunday
20170529,2017-05-29,2017,Q2,5,May,2017-05,22,29,Monday
20170530,2017-05-30,2017,Q2,5,May,2017-05,22,30,Tuesday
20170531,2017-05-31,2017,Q2,5,May,2017-05,22,31,Wednesday
20170601,2017-06-01,2017,Q2,6,Jun,2017-06,22,1,Thursday
20170602,2017-06-02,2017,Q2,6,Jun,2017-06,22,2,Friday
20170603,2017-06-03,2017,Q2,6,Jun,2017-06,22,3,Saturday
20170604,2017-06-04,2017,Q2,6,Jun,2017-06,22,4,Sunday
20170605,2017-06-05,2017,Q2,6,Jun,2017-06,23,5,Monday
20170606,2017-06-06,2017,Q2,6,Jun,2017-06,23,6,Tuesday
20170607,2017-06-07,2017,Q2,6,Jun,2017-06,23,7,Wednesday
20170608,2017-06-08,2017,Q2,6,Jun,2017-06,23,8,Thursday
20170609,2017-06-09,2017,Q2,6,Jun,2017-06,23,9,Friday
20170610,2017-06-10,2017,Q2,6,Jun,2017-06,23,10,Saturday
20170611,2017-06-11,2017,Q2,6,Jun,2017-06,23,11,Sunday
20170612,2017-06-12,2017,Q2,6,Jun,2017-06,24,12,Monday
20170613,2017-06-13,2017,Q2,6,Jun,2017-06,24,13,Tuesday
20170614,2017-06-14,2017,Q2,6,Jun,2017-06,24,14,Wednesday
20170615,2017-06-15,2017,Q2,6,Jun,2017-06,24,15,Thursday
20170616,2017-06-16,2017,Q2,6,Jun,2017-06,24,16,Friday
20170617,2017-06-17,2017,Q2,6,Jun,2017-06,24,17,Saturday
20170618,2017-06-18,2017,Q2,6,Jun,2017-06,24,18,Sunday
20170619,2017-06-19,2017,Q2,6,Jun,2017-06,25,19,Monday
20170620,2017-06-20,2017,Q2,6,Jun,2017-06,25,20,Tuesday
20170621,2017-06-21,2017,Q2,6,Jun,2017-06,25,21,Wednesday
20170622,2017-06-22,2017,Q2,6,Jun,2017-06,25,22,Thursday
20170623,2017-06-23,2017,Q2,6,Jun,2017-06,25,23,Friday
20170624,2017-06-24,2017,Q2,6,Jun,2017-06,25,24,Saturday
20170625,2017-06-25,2017,Q2,6,Jun,2017-06,25,25,Sunday
20170626,2017-06-26,2017,Q2,6,Jun,2017-06,26,26,Monday
20170627,2017-06-27,2017,Q2,6,Jun,2017-06,26,27,Tuesday
20170628,2017-06-28,2017,Q2,6,Jun,2017-06,26,28,Wednesday
20170629,2017-06-29,2017,Q2,6,Jun,2017-06,26,29,Thursday
20170630,2017-06-30,2017,Q2,6,Jun,2017-06,26,30,Friday
20170701,2017-07-01,2017,Q3,7,Jul,2017-07,26,1,Saturday
20170702,2017-07-02,2017,Q3,7,Jul,2017-07,26,2,Sunday
20170703,2017-07-03,2017,Q3,7,Jul,2017-07,27,3,Monday
20170704,2017-07-04,2017,Q3,7,Jul,2017-07,27,4,Tuesday
20170705,2017-07-05,2017,Q3,7,Jul,2017-07,27,5,Wednesday
20170706,2017-07-06,2017,Q3,7,Jul,2017-07,27,6,Thursday
20170707,2017-07-07,2017,Q3,7,Jul,2017-07,27,7,Friday
20170708,2017-07-08,2017,Q3,7,Jul,2017-07,27,8,Saturday
20170709,2017-07-09,2017,Q3,7,Jul,2017-07,27,9,Sunday
20170710,2017-07-10,2017,Q3,7,Jul,2017-07,28,10,Monday
20170711,2017-07-11,2017,Q3,7,Jul,2017-07,28,11,Tuesday
20170712,2017-07-12,2017,Q3,7,Jul,2017-07,28,12,Wednesday
20170713,2017-07-13,2017,Q3,7,Jul,2017-07,28,13,Thursday
20170714,2017-07-14,2017,Q3,7,Jul,2017-07,28,14,Friday
20170715,2017-07-15,2017,Q3,7,Jul,2017-07,28,15,Saturday
20170716,2017-07-16,2017,Q3,7,Jul,2017-07,28,16,Sunday
20170717,2017-07-17,2017,Q3,7,Jul,2017-07,29,17,Monday
20170718,2017-07-18,2017,Q3,7,Jul,2017-07,29,18,Tuesday
20170719,2017-07-19,2017,Q3,7,Jul,2017-07,29,19,Wednesday
